id,filename,date,class,background,daytime,indoor,description
1,IMG_0356.JPG,2020-09-10,pen,brown leather,0,0,blue pilot pen brown leather background night outdoor
2,IMG_0358.JPG,2020-09-10,pen,brown leather,0,0,blue pilot pen brown leather background night outdoor
3,IMG_0359.JPG,2020-09-10,pen,brown leather,0,0,orange staedtler pen brown leather background night outdoor
4,IMG_0360.JPG,2020-09-10,pen,brown leather,0,0,orange staedtler pen brown leather background night outdoor
5,IMG_0362.JPG,2020-09-10,pen,brown leather,0,0,purple stabilo pen brown leather background night outdoor
6,IMG_0364.JPG,2020-09-10,pen,brown leather,0,0,purple stabilo pen brown leather background night outdoor
7,IMG_0365.JPG,2020-09-10,pen,brown leather,0,0,black permanent pen brown leather background night outdoor
8,IMG_0366.JPG,2020-09-10,pen,brown leather,0,0,black permanent pen brown leather background night outdoor
9,IMG_0367.JPG,2020-09-10,pen,brown leather,0,0,black permanent pen brown leather background night outdoor
10,IMG_0368.JPG,2020-09-10,pen,brown leather,0,0,blue bic pen brown leather background night outdoor
11,IMG_0369.JPG,2020-09-10,pen,brown leather,0,0,blue bic pen brown leather background night outdoor
12,IMG_0370.JPG,2020-09-10,pen,brown leather,0,0,blue bic pen brown leather background night outdoor
13,IMG_0375.JPG,2020-09-10,pen,brown leather,0,0,minnie mouse pen brown leather background night outdoor
14,IMG_0376.JPG,2020-09-10,pen,brown leather,0,0,minnie mouse pen brown leather background night outdoor
15,IMG_0382.JPG,2020-09-10,pen,white paper,0,0,blue pilot pen white paper background night outdoor
16,IMG_0383.JPG,2020-09-10,pen,white paper,0,0,blue pilot pen white paper background night outdoor
17,IMG_0384.JPG,2020-09-10,pen,white paper,0,0,blue pilot pen white paper background night outdoor
18,IMG_0385.JPG,2020-09-10,pen,white paper,0,0,orange staedtler pen white paper background night outdoor
19,IMG_0386.JPG,2020-09-10,pen,white paper,0,0,orange staedtler pen white paper background night outdoor
20,IMG_0387.JPG,2020-09-10,pen,white paper,0,0,orange staedtler pen white paper background night outdoor
21,IMG_0388.JPG,2020-09-10,pen,white paper,0,0,purple stabilo pen white paper background night outdoor
22,IMG_0389.JPG,2020-09-10,pen,white paper,0,0,purple stabilo pen white paper background night outdoor
23,IMG_0390.JPG,2020-09-10,pen,white paper,0,0,purple stabilo pen white paper background night outdoor
24,IMG_0392.JPG,2020-09-10,pen,white paper,0,0,black permanent pen white paper background night outdoor
25,IMG_0393.JPG,2020-09-10,pen,white paper,0,0,black permanent pen white paper background night outdoor
26,IMG_0394.JPG,2020-09-10,pen,white paper,0,0,blue bic pen white paper background night outdoor
27,IMG_0395.JPG,2020-09-10,pen,white paper,0,0,blue bic pen white paper background night outdoor
28,IMG_0396.JPG,2020-09-10,pen,white paper,0,0,blue bic pen white paper background night outdoor
29,IMG_0397.JPG,2020-09-10,pen,white paper,0,0,small orange pen white paper background night outdoor
30,IMG_0398.JPG,2020-09-10,pen,white paper,0,0,small orange pen white paper background night outdoor
31,IMG_0399.JPG,2020-09-10,pen,white paper,0,0,small orange pen white paper background night outdoor
